Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,587430,313869,105720,261458,100256,52910,49043,1678544,8392702,180419,42762,922687,93931,604333,68490,1695037,433854,4026142,63658,3594784,1180662
500,532121,354353,130044,87414,94925,2652107,74131,11575046,255150,196718,41497,2372253,90860,1746432,51828,4996934,264437,14409483,58354,10686647,3487576
750,565763,429151,159115,92474,93938,66661,49454,8344253,260776,183057,46473,5711807,88415,2838347,61106,8277258,279161,22039913,80989,18003426,7048373
1000,616877,396634,166637,87629,267889,68807,47336,12001350,248575,186504,46439,8112103,87633,3999884,72265,18246072,75373,26928032,54758,25765534,8946707
1250,616817,421800,161262,90154,103229,76533,47753,15003215,285832,198687,46748,6818409,99192,5154611,64807,15630224,416547,39424265,83213,32088720,11532507
1500,629988,438915,146252,100768,96971,79760,47496,18404734,248992,194138,46418,14221105,87857,6199629,73231,19571935,80311,39411081,49980,38915764,16319810
1750,584060,433963,147029,90171,139511,65431,47286,21842602,272727,209191,46552,10972059,84734,7377992,63736,21548892,71355,44195249,65382,46254268,15249997
2000,599823,593182,156204,87024,97864,67865,47707,26797533,248194,243207,46484,11352246,90146,8781798,70840,24831508,72643,55073822,86308,52969149,17144787
2250,3082755,589145,156030,86934,94836,112957,46597,28833028,265521,197537,46477,13363920,89187,9666873,66400,28423274,756478,62061723,54523,60406868,19213856
2500,623113,434958,166291,97313,89990,61686,48230,31515986,320355,203241,41166,14568192,87089,10761485,68675,31419028,68555,67606826,58972,67529203,21482158
2750,670831,454553,180410,96439,103355,59869,47454,34688280,254437,203837,36368,16769945,87230,11907468,60798,34664428,68541,74781601,54601,74601669,24003831
3000,821050,505453,170342,87436,113387,68016,50069,38223995,244949,207814,36309,18267354,87644,13076970,64358,39038441,78897,81974886,59931,81655648,26525991
3250,5845457,448941,170386,85890,121019,64167,47999,41382564,256500,203522,36975,20673937,91611,14194010,63868,41348212,71332,89781357,74318,89351125,28221044
3500,659405,471221,170611,96069,91683,62802,59431,44920055,285254,224873,36576,23821110,85725,15485662,122578,44988440,77335,99670747,49500,96091976,30656668
3750,636738,480455,171277,90488,111236,60684,47254,48458654,249916,213170,35710,23824415,86865,16415517,62633,48066831,72745,104129086,44385,103621362,32927779
4000,660255,476463,179819,119833,117532,62353,48230,55072332,317892,217072,36260,24316020,91860,17860374,68338,52810707,85337,142132070,47560,111849855,35385833
4250,826377,468217,195231,132599,94202,89304,47153,54938914,249270,221870,36284,30548846,87686,18725352,59588,55118964,1427297,177879925,71071,116856213,37238565
4500,4211654,482232,250077,107130,104384,55148,48296,58274038,267331,475833,37292,33166889,93198,19849014,64819,58507390,69077,166477825,45348,124520040,40000886
4750,746728,493905,194882,101554,100174,60603,48309,61849864,305299,242920,36342,28098054,100604,21056549,62544,65267273,71621,132417198,74926,131076323,41705716
5000,682498,502164,195396,101578,116211,56690,48746,64928529,334852,284672,36431,28418504,91515,22174503,90018,65190793,85546,144456251,45015,139044792,44218929
5250,646333,613943,194329,213658,118216,76695,48042,68175927,4608077,232790,36371,30152264,88997,23713659,63166,68825135,77566,148742784,46800,145732345,46343157
5500,661056,551759,194258,105514,101680,56091,55804,71564071,287397,203491,91751,31630330,89340,24344638,71774,71838334,74820,157084673,54234,152535036,48823307
5750,654324,569950,195800,99034,97361,73070,47830,74713120,276335,208028,36286,44137295,1509378,27149754,66881,74810459,71811,163001396,45434,161183975,51587149
6000,2460872,490715,193769,100724,97146,3402603,49126,78078521,287446,203018,36355,44185731,94938,27184591,79412,78929904,69114,177985849,62499,167637253,56687414
6250,691178,505915,188669,98368,105187,56749,47400,85648995,277445,205591,38336,37200153,107951,30778623,79220,81822379,77080,177334453,45921,212423984,54975234
6500,735459,499027,191224,104040,94167,54031,47393,86004058,269278,213511,49176,41521535,127177,36035783,67919,84824640,72588,186816832,221711,237695597,57602620
6750,688328,491369,203582,106034,116578,65191,47273,90820393,1214549,213677,46820,48091767,94192,35217870,69604,130812831,74896,191844619,45054,251834037,67902215
7000,655729,494335,179614,101174,94193,55107,48601,93208200,601558,207139,46907,41016215,88853,31178413,65335,97418156,72080,197963005,49718,257274321,62216182
7250,5239139,500622,188044,101745,123021,61747,47046,96175407,647278,207970,46664,41916822,114906,33129377,59579,106058388,72179,209700060,49437,237689031,65340893
7500,949264,506700,185926,181387,97470,54495,47063,99409044,329756,223935,46493,46968660,90604,34822881,100550,106658222,81583,212940699,46459,226711461,66596725
7750,1054645,498273,195698,99459,96976,55809,47734,102855471,348123,217552,52580,45439079,90741,35137133,58151,109567040,1568689,221957884,51777,241912387,69285857
8000,712311,563756,182831,96978,94207,65676,48218,108353695,298384,219168,46615,47627793,103101,36343997,57636,161045637,79082,231514610,48380,253943696,71957098
8250,690717,531975,193348,95303,99580,57319,49806,108249166,302533,218425,46892,48591034,94004,37669828,58849,127562785,2903480,240561415,50184,261000438,77732246
8500,715969,529790,182475,103083,92330,53713,47805,112187170,306679,220299,46908,50091868,90779,38956590,60825,121424206,71776,255643762,47490,245965946,75676335
8750,739582,523971,302320,98303,196969,52939,47227,115901236,300571,250148,46691,54734573,93679,40911382,58101,128947810,70447,254975480,48261,250584851,78127699
9000,685008,570353,184153,92805,95721,54258,47885,118616295,301550,224539,46692,51921822,91403,41847730,62227,201872907,73902,263407625,3945188,306545036,80419702
9250,682255,600415,177864,103185,99344,53625,47426,125866558,292826,236360,47061,70070200,90857,43376596,57624,136236514,82911,269037563,44252,272087799,82796800
